Date/Time,Air Temp (℉),Dewpoint (℉),Precip (inches),RH (%),Wind Spd (mph),Wind Dir (degrees)
01/01/2015 01:00 EST,16,8,0,70,5.8,230
01/01/2015 02:00 EST,19,8,0,62,3.5,320
01/01/2015 03:00 EST,15,5,0,64,8.1,230
01/01/2015 04:00 EST,21,7,0,54,6.9,260
01/01/2015 05:00 EST,21,7,0,54,5.8,270
01/01/2015 06:00 EST,16,6,0,64,3.5,230
01/01/2015 07:00 EST,16,7,0,67,5.8,220
01/01/2015 08:00 EST,18,7,0,61,0,0
01/01/2015 09:00 EST,24,11,0,57,9.2,230
01/01/2015 10:00 EST,28,9,0,44,9.2,230
01/01/2015 11:00 EST,31,8,0,38,13.8,240
01/01/2015 12:00 EST,34,8,0,33,17.3,250
01/01/2015 13:00 EST,36,11,0,35,18.4,240
01/01/2015 14:00 EST,38,12,0,34,16.1,230
01/01/2015 15:00 EST,39,12,0,32,20.7,240
01/01/2015 16:00 EST,39,12,0,32,17.3,230
01/01/2015 17:00 EST,37,12,0,35,12.7,230
01/01/2015 18:00 EST,35,13,0,40,13.8,220
01/01/2015 19:00 EST,33,14,0,45,9.2,230
01/01/2015 20:00 EST,30,13,0,48,5.8,250
01/01/2015 21:00 EST,27,13,0,55,5.8,230
01/01/2015 22:00 EST,30,15,0,53,5.8,260
01/01/2015 23:00 EST,26,14,0,60,5.8,230
01/02/2015 00:00 EST,29,15,0,56,6.9,200
01/02/2015 01:00 EST,30,16,0,55,6.9,210
01/02/2015 02:00 EST,29,17,0,61,8.1,220
01/02/2015 03:00 EST,31,16,0,53,9.2,240
01/02/2015 04:00 EST,27,15,0,60,5.8,220
01/02/2015 05:00 EST,29,16,0,58,9.2,220
01/02/2015 06:00 EST,30,17,0,58,8.1,230
01/02/2015 07:00 EST,29,16,0,58,9.2,230
01/02/2015 08:00 EST,30,17,0,58,8.1,230
01/02/2015 09:00 EST,33,17,0,51,10.4,220
01/02/2015 10:00 EST,37,18,0,46,10.4,250
01/02/2015 11:00 EST,39,18,0,42,15,250
01/02/2015 12:00 EST,39,18,0,42,10.4,290
01/02/2015 13:00 EST,41,17,0,38,15,270
01/02/2015 14:00 EST,41,18,0,39,11.5,270
01/02/2015 15:00 EST,41,18,0,39,8.1,290
01/02/2015 16:00 EST,40,17,0,39,8.1,300
01/02/2015 17:00 EST,36,17,0,46,0,0
01/02/2015 18:00 EST,36,18,0,48,0,0
01/02/2015 19:00 EST,34,18,0,51,3.5,250
01/02/2015 20:00 EST,30,18,0,60,4.6,260
01/02/2015 21:00 EST,27,18,0,68,4.6,230
01/02/2015 22:00 EST,25,18,0,74,0,0
01/02/2015 23:00 EST,25,17,0,71,0,0
01/03/2015 00:00 EST,24,17,0,74,4.6,330
